building_energy_0.005,building_eui_0.005,building_wui_0.005,building_ess_0.005,building_gfa_0.005,building_ghg_0.005,building_value_0.005,building_energy_0.01,building_eui_0.01,building_wui_0.01,building_ess_0.01,building_gfa_0.01,building_ghg_0.01,building_value_0.01,building_energy_0.15,building_eui_0.15,building_wui_0.15,building_ess_0.15,building_gfa_0.15,building_ghg_0.15,building_value_0.15
8370553.703030303,120.52424242424243,851.4357575757575,62.21212121212121,80673.87878787878,4.858181818181818,2796490.909090909,8199601.769369369,132.04414414414413,313.77864864864864,54.81981981981982,69076.28828828828,5.408918918918918,2434181.2162162163,11250373.744294945,126.69829431083804,73.5102097679839,57.831655895751666,90098.8152876364,5.03729632376311,7967500.506621464
8370553.703030303,120.52424242424243,851.4357575757575,62.21212121212121,80673.87878787878,4.858181818181818,2796490.909090909,8199601.769369369,132.04414414414413,313.77864864864864,54.81981981981982,69076.28828828828,5.408918918918918,2434181.2162162163,11247051.722850488,126.70637441761966,73.52403430749682,57.821579839051246,90070.39840110122,5.0379489623041085,7963885.79330792
8370553.703030303,120.52424242424243,851.4357575757575,62.21212121212121,80673.87878787878,4.858181818181818,2796490.909090909,8205666.8145454535,132.0818181818182,315.82863636363635,54.68181818181818,69168.6909090909,5.411818181818181,2438179.227272727,11245994.64180163,126.69698316926008,73.51143537630995,57.829363819201866,90068.85990261458,5.037451042659045,7964206.53551392
8370553.703030303,120.52424242424243,851.4357575757575,62.21212121212121,80673.87878787878,4.858181818181818,2796490.909090909,8205666.8145454535,132.0818181818182,315.82863636363635,54.68181818181818,69168.6909090909,5.411818181818181,2438179.227272727,11244352.43691673,126.68315522166967,73.49337318802243,57.839382075970796,90063.51936303037,5.03677177018305,7962905.247592847
8370553.703030303,120.52424242424243,851.4357575757575,62.21212121212121,80673.87878787878,4.858181818181818,2796490.909090909,8205666.8145454535,132.0818181818182,315.82863636363635,54.68181818181818,69168.6909090909,5.411818181818181,2438179.227272727,11244352.43691673,126.68315522166967,73.49337318802243,57.839382075970796,90063.51936303037,5.03677177018305,7962905.247592847
8370553.703030303,120.52424242424243,851.4357575757575,62.21212121212121,80673.87878787878,4.858181818181818,2796490.909090909,8205666.8145454535,132.0818181818182,315.82863636363635,54.68181818181818,69168.6909090909,5.411818181818181,2438179.227272727,11247750.846013956,126.67666525692535,73.47876612391626,57.84267286952844,90091.72462465637,5.0364167900190315,7964258.681327976
8370553.703030303,120.52424242424243,851.4357575757575,62.21212121212121,80673.87878787878,4.858181818181818,2796490.909090909,8178230.122727273,132.12545454545455,315.24,54.70909090909091,68896.87272727273,5.405363636363636,2433842.8636363638,11245977.228728464,126.67204312440545,73.46928865870414,57.84251136243526,90079.89498995878,5.036251981820104,7962597.564528063
8370553.703030303,120.52424242424243,851.4357575757575,62.21212121212121,80673.87878787878,4.858181818181818,2796490.909090909,8178230.122727273,132.12545454545455,315.24,54.70909090909091,68896.87272727273,5.405363636363636,2433842.8636363638,11247092.448891003,126.66365652724969,73.4553664976764,57.84051542036333,90093.75628432615,5.035878749471905,7963481.842839037
8423561.299999997,121.13529411764706,826.900588235294,62.470588235294116,80418.76470588235,4.868235294117647,2790119.117647059,8194899.924770642,131.9146788990826,317.47834862385326,54.95412844036697,69152.71559633028,5.379816513761469,2439381.330275229,11248068.912733609,126.6609544926618,73.45119311582725,57.84088269454123,90100.56525182135,5.035734346953859,7964378.1431738995
8423561.299999997,121.13529411764706,826.900588235294,62.470588235294116,80418.76470588235,4.868235294117647,2790119.117647059,8155677.441666666,132.3388888888889,320.1187962962963,54.638888888888886,68456.61111111111,5.400925925925925,2423800.0,11246700.78100211,126.6644092827004,73.42133438818566,57.84462025316456,90092.08201476793,5.035591772151898,7960418.021518988
8829339.859999998,123.48857142857142,803.5454285714285,60.714285714285715,81297.31428571428,4.993714285714286,2788765.714285714,8175240.995327102,132.2476635514019,322.06233644859816,54.850467289719624,68697.60747663552,5.398785046728973,2435290.6542056073,11247640.086850153,126.67570389117367,73.41204998418222,57.837182326268056,90088.52130127596,5.035837815037435,7959727.791205315
8829339.859999998,123.48857142857142,803.5454285714285,60.714285714285715,81297.31428571428,4.993714285714286,2788765.714285714,8175240.995327102,132.2476635514019,322.06233644859816,54.850467289719624,68697.60747663552,5.398785046728973,2435290.6542056073,11254076.690885141,126.68091675447842,73.40453740779769,57.836670179135936,90128.15832455216,5.035962065331928,7961951.901369863
8588663.657142855,124.02,802.3597142857145,60.77142857142857,78651.6,5.019428571428572,2737221.4285714286,8153046.875,132.0527777777778,320.62379629629635,55.0462962962963,68542.86111111111,5.388333333333334,2417091.6666666665,11251325.485211713,126.67427849167896,73.4009395407626,57.83294712449968,90108.0050031599,5.035767853381083,7959198.060880556
8588663.657142855,124.02,802.3597142857145,60.77142857142857,78651.6,5.019428571428572,2737221.4285714286,8182181.508411215,132.55794392523364,323.18196261682243,54.80373831775701,68579.71962616823,5.4111214953271025,2427400.9345794395,11254023.295703907,126.68056228282613,73.39184795198484,57.83015689164999,90120.05722859851,5.035779719911551,7962889.733284195
8588663.657142855,124.02,802.3597142857145,60.77142857142857,78651.6,5.019428571428572,2737221.4285714286,8220671.814814814,132.17314814814816,320.54787037037033,55.120370370370374,69200.55555555556,5.39,2418170.8333333335,11250375.268978218,126.67361885720298,73.3861717352415,57.8369988424708,90093.59575923393,5.035444596443229,7958984.546669473
8588663.657142855,124.02,802.3597142857145,60.77142857142857,78651.6,5.019428571428572,2737221.4285714286,8240482.753271028,131.69158878504675,323.50308411214957,55.26168224299065,69536.93457943926,5.381214953271027,2421008.4112149533,11257348.855427008,126.68195204038705,73.38846655448044,57.826777450567945,90119.47754522508,5.035791964661338,7962113.467395877
8543545.624999998,125.43333333333332,784.13,59.75,77572.66666666667,5.072222222222222,2687925.0,8216148.9981132075,131.7198113207547,325.79000000000013,55.39622641509434,69399.90566037736,5.387641509433963,2433841.9811320757,11256496.418916931,126.68252365930603,73.38434384858046,57.82807570977918,90112.15746582545,5.035982124079916,7960998.0649842275
8644008.265714284,124.98,805.0271428571428,59.31428571428572,78772.31428571428,5.054857142857142,2736334.285714286,8235471.280000001,131.56285714285715,327.9008571428571,55.40952380952381,69663.23809523809,5.3646666666666665,2451527.1428571427,11255281.659703532,126.68689024390244,73.39208683767872,57.824747687132046,90101.30598191758,5.036131202691338,7959614.844196804
8644008.265714284,124.98,805.0271428571428,59.31428571428572,78772.31428571428,5.054857142857142,2736334.285714286,8235471.280000001,131.56285714285715,327.9008571428571,55.40952380952381,69663.23809523809,5.3646666666666665,2451527.1428571427,11256454.257525751,126.68976245532897,73.38941139373556,57.818057599327304,90105.52506832036,5.036230817742275,7960129.167332352
8670778.552777776,124.43055555555556,782.8533333333334,59.72222222222222,79120.30555555556,5.053333333333334,2825562.5,8235471.280000001,131.56285714285715,327.9008571428571,55.40952380952381,69663.23809523809,5.3646666666666665,2451527.1428571427,11255326.27959441,126.6847746138489,73.39074393191132,57.822633182725646,90099.09903330881,5.036058631921824,7958296.705684564
8670778.552777776,124.43055555555556,782.8533333333334,59.72222222222222,79120.30555555556,5.053333333333334,2825562.5,8235471.280000001,131.56285714285715,327.9008571428571,55.40952380952381,69663.23809523809,5.3646666666666665,2451527.1428571427,11254522.72023947,126.68635647516018,73.39257956097049,57.82134229597731,90090.83546896334,5.036161117529671,7955887.359310997
8670778.552777776,124.43055555555556,782.8533333333334,59.72222222222222,79120.30555555556,5.053333333333334,2825562.5,8257734.092307693,131.625,330.1448076923076,55.375,69878.14423076923,5.365192307692308,2466778.846153846,11253918.148986662,126.68759844586788,73.38347894571038,57.81476425496167,90085.2215163289,5.036245930904126,7954820.718051034
8607826.427027026,123.70540540540541,765.5627027027027,60.7027027027027,78738.67567567568,5.02027027027027,2803183.7837837837,8257734.092307693,131.625,330.1448076923076,55.375,69878.14423076923,5.365192307692308,2466778.846153846,11253159.053185685,126.68787656135194,73.38891886218117,57.812847696021834,90086.67077778943,5.036285294426367,7954185.252230503
8607826.427027026,123.70540540540541,765.5627027027027,60.7027027027027,78738.67567567568,5.02027027027027,2803183.7837837837,8257734.092307693,131.625,330.1448076923076,55.375,69878.14423076923,5.365192307692308,2466778.846153846,11253159.053185685,126.68787656135194,73.38891886218117,57.812847696021834,90086.67077778943,5.036285294426367,7954185.252230503
8607826.427027026,123.70540540540541,765.5627027027027,60.7027027027027,78738.67567567568,5.02027027027027,2803183.7837837837,8209627.308653847,131.25,329.511923076923,55.52884615384615,69589.18269230769,5.346153846153846,2474930.769230769,11253126.145718785,126.70480587618049,73.37704721930746,57.80346274921301,90082.35493179434,5.037112277019937,7953830.875970619
8607826.427027026,123.70540540540541,765.5627027027027,60.7027027027027,78738.67567567568,5.02027027027027,2803183.7837837837,8209627.308653847,131.25,329.511923076923,55.52884615384615,69589.18269230769,5.346153846153846,2474930.769230769,11251513.330221336,126.70371341655303,73.37785691807406,57.79481800062939,90069.43150110144,5.037098499947551,7951590.338613238
8607826.427027026,123.70540540540541,765.5627027027027,60.7027027027027,78738.67567567568,5.02027027027027,2803183.7837837837,8212103.039805824,131.50776699029126,332.14291262135924,55.36893203883495,69526.94174757281,5.358446601941746,2485577.1844660193,11250086.518321972,126.70162558993185,73.37619192448872,57.79140010487677,90058.5357629785,5.037240692186681,7950097.414577871
